id,name,mpName,house,totalMPs,totalAllocated,totalExpenditure,utilizationPercentage,totalWorksCompleted,totalWorksRecommended,state
BARABANKI,BARABANKI,TANUJ PUNIA,Lok Sabha,1,148198170.11,83397272.0,56.27415772954445,13,20,Uttar Pradesh
LALGANJ,LALGANJ,DAROGA PRASAD SAROJ,Lok Sabha,1,147000000.0,82499872.0,56.12236190476191,58,236,Uttar Pradesh
GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,Mahesh Sharma,Lok Sabha,1,148816284.11,83408358.0,56.04787036501149,68,103,Uttar Pradesh
ETAH,ETAH,DEVESH SHAKYA,Lok Sabha,1,147000000.0,81351075.0,55.34086734693877,220,106,Uttar Pradesh
DEORIA,DEORIA,SHASHANK MANI,Lok Sabha,1,147000000.0,80936917.0,55.05912721088435,45,81,Uttar Pradesh
BIJNOR,BIJNOR,CHANDAN CHAUHAN,Lok Sabha,1,147000000.0,80796698.0,54.96374013605442,14,102,Uttar Pradesh
VARANASI,VARANASI,Shri Narendra Modi,Lok Sabha,1,162070276.11,88819703.0,54.80320335834836,192,25,Uttar Pradesh
KUSHI NAGAR,KUSHI NAGAR,Vijay Kumar Dubey,Lok Sabha,1,148900000.0,80256423.0,53.89954533243788,132,90,Uttar Pradesh
AMROHA,AMROHA,KANWAR SINGH TANWAR,Lok Sabha,1,147000000.0,78135018.0,53.153073469387756,59,46,Uttar Pradesh
DHAURAHRA,DHAURAHRA,ANAND BHADAURIYA,Lok Sabha,1,147000000.0,76758938.0,52.21696462585034,132,45,Uttar Pradesh
BANDA,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,Lok Sabha,1,147000000.0,75878699.67,51.61816304081632,202,240,Uttar Pradesh
KANPUR,KANPUR,RAMESH AWASTHI,Lok Sabha,1,147000000.0,75758324.0,51.53627482993197,48,66,Uttar Pradesh
BHADOHI,BHADOHI,VINOD KUMAR BIND,Lok Sabha,1,147000000.0,75517267.0,51.37229047619047,407,137,Uttar Pradesh
KHERI,KHERI,UTKARSH VERMA MADHUR,Lok Sabha,1,147000000.0,74909150.0,50.958605442176875,347,13,Uttar Pradesh
RAMPUR,RAMPUR,MOHIBBULLAH,Lok Sabha,1,147000000.0,74744421.0,50.84654489795918,219,161,Uttar Pradesh
GHAZIPUR,GHAZIPUR,AFZAL ANSARI,Lok Sabha,1,220500000.0,106722563.0,48.40025532879819,35,396,Uttar Pradesh
GONDA,GONDA,Kirti Vardhan Singh,Lok Sabha,1,147000000.0,71075338.0,48.35057006802721,35,118,Uttar Pradesh
AMETHI,AMETHI,KISHORI LAL,Lok Sabha,1,171500000.0,82481354.0,48.094083965014576,19,31,Uttar Pradesh
LUCKNOW,LUCKNOW,Rajnath Singh,Lok Sabha,1,154808797.11,74407887.0,48.06437902048239,31,71,Uttar Pradesh
MACHHLISHAHR,MACHHLISHAHR,PRIYA SAROJ,Lok Sabha,1,147000000.0,69805592.0,47.48679727891157,725,670,Uttar Pradesh
UNNAO,UNNAO,Swami Sachchidanandhari Sakshi ji Maharaj ,Lok Sabha,1,147000000.0,68421377.0,46.54515442176871,12,77,Uttar Pradesh
JHANSI,JHANSI,Anurag Sharma ,Lok Sabha,1,147000000.0,67201462.0,45.71528027210884,85,83,Uttar Pradesh
