state,district_nodal,total_works,completed_works_count,recommended_works_count,completion_rate_pct,completed_works_value_inr,in_progress_payments_inr,mp_count,mps_active,constituencies_covered,primary_sector
Uttar Pradesh,KASGANJ,11,11,0,100.0,0.0,0.0,1,DEVESH SHAKYA,ETAH,Normal/Others
Madhya Pradesh,NARSIMHAPUR,11,11,0,100.0,0.0,0.0,4,"DARSHAN SINGH CHOUDHARY, Faggan Singh Kulaste, Shri Vivek K. Tankha (2022-28), Smt. Maya Naroliya (2024-30)","HOSHANGABAD, MANDLA, Sitting Rajya Sabha",Normal/Others
Maharashtra,THANE,11,11,0,100.0,0.0,0.0,1,BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,Normal/Others
Madhya Pradesh,ALIRAJPUR,11,11,0,100.0,0.0,0.0,1,ANITA NAGARSINGH CHOUHAN,RATLAM,Normal/Others
Madhya Pradesh,MAIHAR,11,11,0,100.0,0.0,0.0,1,Ganesh Singh,SATNA,Normal/Others
Rajasthan,KARAULI,11,11,0,100.0,0.0,0.0,2,"BHAJAN LAL JATAV, Shri Madan Rathore (2024-30)","KARAULI-DHOLPUR, Sitting Rajya Sabha",Normal/Others
Tamil Nadu,VELLORE,11,11,0,100.0,0.0,0.0,1,D M Kathir Anand,VELLORE,Normal/Others
Andhra Pradesh,GUNTUR,88,10,78,11.36,0.0,29429080.0,4,"Balashowry Vallabbhaneni, Dr Chandra Sekhar Pemmasani, Lavu Sri Krishna Devarayalu, Shri V. Vijayendra Prasad (2022-28)","GUNTUR, MACHILIPATNAM, NARASARAOPET, Nominated Rajya Sabha",Normal/Others
Arunachal Pradesh,PAPUM PARE,12,10,2,83.33,0.0,1992517.0,1,Kiren Rijiju,ARUNACHAL WEST,Normal/Others
Chhattisgarh,JANJGIR-CHAMPA,10,10,0,100.0,0.0,0.0,1,Smt. Ranjeet Ranjan (2022-28),Sitting Rajya Sabha,Normal/Others
Sikkim,SORENG,10,10,0,100.0,0.0,0.0,2,"Indra Hang Subba, Shri Dorjee Tshering Lepcha (2024-30)","SIKKIM, Sitting Rajya Sabha",Normal/Others
Rajasthan,UDAIPUR,10,10,0,100.0,0.0,0.0,3,"Chandra Prakash Joshi, MANNA LAL RAWAT, Shri Chunnilal Garasiya (2024-30)","CHITTORGARH, Sitting Rajya Sabha, UDAIPUR",Normal/Others
Andhra Pradesh,NIZAMABAD,10,10,0,100.0,0.0,0.0,1,Shri V. Vijayendra Prasad (2022-28),Nominated Rajya Sabha,Normal/Others
Assam,CHARAIDEO,10,10,0,100.0,0.0,0.0,1,GAURAV GOGOI,JORHAT,Normal/Others
Telangana,NIRMAL,10,10,0,100.0,0.0,0.0,1,GODAM NAGESH,ADILABAD,Normal/Others
Tamil Nadu,MAYILADUTHURAI,10,10,0,100.0,0.0,0.0,1,SUDHA R,MAYILADUTHURAI,Normal/Others
Maharashtra,GADCHIROLI,10,10,0,100.0,0.0,0.0,1,DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR,Normal/Others
Delhi,WEST,10,10,0,100.0,0.0,0.0,2,"Kamaljeet Sehrawat, Shri Sanjay Singh (2024-30)","Sitting Rajya Sabha, WEST DELHI",Normal/Others
Andhra Pradesh,KAKINADA,40,9,31,22.5,0.0,7480683.0,4,"GM Harish Balayogi, Putta Mahesh Kumar, Shri Yerram Venkata Subba Reddy (2024-30), TANGELLA UDAY SRINIVAS","AMALAPURAM, ELURU, KAKINADA, Sitting Rajya Sabha",Normal/Others
Meghalaya,EAST KHASI HILLS,9,9,0,100.0,0.0,0.0,1,ANDREW J. SYNGKON,SHILLONG,Normal/Others
Mizoram,LUNGLEI,9,9,0,100.0,0.0,0.0,1,RICHARD VANLALHMANGAIHA,MIZORAM,Normal/Others
Himachal Pradesh,UNA,9,9,0,100.0,0.0,0.0,2,"Anurag Singh Thakur, Dr. Sikander Kumar (2022-28)","HAMIRPUR, Sitting Rajya Sabha",Normal/Others
Karnataka,KAITHAL,9,9,0,100.0,0.0,0.0,3,"Dr. Syed Naseer Hussain (2024-30), Shri Ajay Makan (2024-30), Shri G.C. Chandrashekhar (2024-30)",Sitting Rajya Sabha,Normal/Others
Assam,SONITPUR,9,9,0,100.0,0.0,0.0,2,"RANJIT DUTTA, Shri Birendra Prasad Baishya (2025-31)","Sitting Rajya Sabha, Sonitpur",Normal/Others
Telangana,YADADRI BHUVANAGIRI,9,9,0,100.0,0.0,0.0,1,CHAMALA KIRAN KUMAR REDDY,BHONGIR,Normal/Others
Jammu And Kashmir,RAMBAN,9,9,0,100.0,0.0,0.0,1,Jitendra Singh,UDHAMPUR,Normal/Others
Karnataka,CHITRADURGA,9,9,0,100.0,0.0,0.0,1,GOVIND MAKTHAPPA KARJOL,CHITRADURGA,Normal/Others
Kerala,WAYANAD,9,9,0,100.0,0.0,0.0,4,"Priyanka Gandhi Vadra, Shri P. P. Suneer (2024-30), Smt. Jebi Mather Hisham (2022-28), Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha, Sitting Rajya Sabha, WAYANAD",Normal/Others
Jammu And Kashmir,BARAMULLA,9,9,0,100.0,0.0,0.0,1,ABDUL RASHID SHEIKH,BARAMULLAH,Normal/Others
Nagaland,KOHIMA,8,8,0,100.0,0.0,0.0,2,"S SUPONGMEREN JAMIR, Smt. S. Phangnon Konyak (2022-28)","NAGALAND, Sitting Rajya Sabha",Normal/Others
Jammu And Kashmir,SAMBA,8,8,0,100.0,0.0,0.0,2,"Shri Gulam Ali (2022-28), Shri Jugal Kishore Sharma","JAMMU, Nominated Rajya Sabha",Normal/Others
Arunachal Pradesh,SIANG,8,8,0,100.0,0.0,0.0,2,"Kiren Rijiju, Shri Tapir Gao","ARUNACHAL EAST, ARUNACHAL WEST",Normal/Others
Mizoram,AIZAWL,8,8,0,100.0,0.0,0.0,1,RICHARD VANLALHMANGAIHA,MIZORAM,Normal/Others
Rajasthan,KAITHAL,8,8,0,100.0,0.0,0.0,2,"Shri Mukul Wasnik (2022-28), Shri Randeep Singh Surjewala (2022-28)",Sitting Rajya Sabha,Normal/Others
Madhya Pradesh,BURHANPUR,8,8,0,100.0,0.0,0.0,1,Gyaneshwar Patil,KHANDWA,Normal/Others
Rajasthan,JODHPUR GRAMIN,8,8,0,100.0,0.0,0.0,3,"Shri Madan Rathore (2024-30), Shri Pramod Tiwari (2022-28), Smt. Sonia Gandhi (2024-30)",Sitting Rajya Sabha,Normal/Others
Rajasthan,KOTPUTLI-BEHROR,8,8,0,100.0,0.0,0.0,5,"BHUPENDER YADAV, Rao Rajendra Singh, Shri Pramod Tiwari (2022-28), Shri Randeep Singh Surjewala (2022-28), Smt. Sonia Gandhi (2024-30)","ALWAR, JAIPUR RURAL, Sitting Rajya Sabha",Normal/Others
Rajasthan,JODHPUR,8,8,0,100.0,0.0,0.0,3,"Shri Madan Rathore (2024-30), Shri PP Chaudhary, Smt. Sonia Gandhi (2024-30)","PALI, Sitting Rajya Sabha",Normal/Others
Chhattisgarh,GARIYABAND,8,8,0,100.0,0.0,0.0,1,ROOP KUMARI CHOUDHARY,MAHASAMUND,Normal/Others
Telangana,WANAPARTHY,8,8,0,100.0,0.0,0.0,3,"DR.MALLU RAVI, Shri Damodar Rao Divakonda (2022-28), Shri Ravi Chandra Vaddiraju (2024-30)","NAGARKURNOOL, Sitting Rajya Sabha",Normal/Others
Karnataka,RAICHUR,8,8,0,100.0,0.0,0.0,2,"G. KUMAR NAIK, Smt. Nirmala Sitharaman (2022-28)","RAICHUR, Sitting Rajya Sabha",Normal/Others
Karnataka,DAVANAGERE,8,8,0,100.0,0.0,0.0,2,"DR. PRABHA MALLIKARJUN, Dr. Dharmasthala Veerendra Heggade (2022-28)","DAVANAGERE, Nominated Rajya Sabha",Normal/Others
Jammu And Kashmir,UDHAMPUR,8,8,0,100.0,0.0,0.0,1,Jitendra Singh,UDHAMPUR,Normal/Others
Assam,MAJULI,8,8,0,100.0,0.0,0.0,2,"GAURAV GOGOI, Shri Pabitra Margherita (2022-28)","JORHAT, Sitting Rajya Sabha",Normal/Others
Rajasthan,CHITTORGARH,8,8,0,100.0,0.0,0.0,2,"Chandra Prakash Joshi, Shri Arjun Ram Meghwal","BIKANER, CHITTORGARH",Normal/Others
Telangana,ADILABAD,8,8,0,100.0,0.0,0.0,1,GODAM NAGESH,ADILABAD,Normal/Others
Telangana,JAYASHANKAR BHUPALAPALLY,8,8,0,100.0,0.0,0.0,1,KADIYAM KAVYA,WARANGEL,Normal/Others
Maharashtra,RATNAGIRI,8,8,0,100.0,0.0,0.0,1,NARAYAN TATU RANE,RATNAGIRI-SINDHUDURG,Normal/Others
Andhra Pradesh,PALNADU,78,7,71,8.97,0.0,186429.0,5,"Lavu Sri Krishna Devarayalu, Shri Masthan Rao Yadav Beedha (2024-28), Shri Ryaga Krishnaiah (2024-28), Shri S Niranjan Reddy (2022-28), Shri Yerram Venkata Subba Reddy (2024-30)","NARASARAOPET, Sitting Rajya Sabha",Normal/Others
Andhra Pradesh,EAST GODAVARI,72,7,65,9.72,0.0,5468348.0,6,"Balashowry Vallabbhaneni, DR BYREDDY SHABARI, Daggubati Purandeshwari, Gumma Thanuja Rani, Midhun Reddy, Shri V. Vijayendra Prasad (2022-28)","ARAKU, MACHILIPATNAM, NANDYAL, Nominated Rajya Sabha, RAJAHMUNDRY, RAJAMPET",Normal/Others
Andhra Pradesh,PRAKASAM,33,7,26,21.21,0.0,5783901.0,3,"Krishna Prasad Tenneti, Magunta Sreenivasulu Reddy, Shri Yerram Venkata Subba Reddy (2024-30)","BAPATLA, ONGOLE, Sitting Rajya Sabha",Normal/Others
Assam,NAGAON,12,7,5,58.33,0.0,282531.0,1,Pradyut Bordoloi,NOWGONG,Normal/Others
Arunachal Pradesh,WEST KAMENG,12,7,5,58.33,0.0,3200000.0,1,Kiren Rijiju,ARUNACHAL WEST,Normal/Others
Assam,GOALPARA,11,7,4,63.64,0.0,1500000.0,2,"BIJULI KALITA MEDHI, RAKIBUL HUSSAIN","DHUBRI, GUWAHATI",Normal/Others
Nagaland,CHUMOUKEDIMA,7,7,0,100.0,0.0,0.0,2,"S SUPONGMEREN JAMIR, Smt. S. Phangnon Konyak (2022-28)","NAGALAND, Sitting Rajya Sabha",Normal/Others
Uttar Pradesh,SANT KABIR NAGAR,7,7,0,100.0,0.0,0.0,6,"Dr. Radha Mohan Das Agrawal (2022-28), LAXMIKANT PAPPU NISHAD, Shri Amar Pal Maurya (2024-30), Shri B.L. Verma (2020-26), Shri Javed Ali Khan (2022-28), Shri Sanjay Seth (2024-30)","SANT KABIR NAGAR, Sitting Rajya Sabha",Normal/Others
Chhattisgarh,BALRAMPUR-RAMANUJGANJ,7,7,0,100.0,0.0,0.0,2,"CHINTAMANI MAHARAJ, Smt. Ranjeet Ranjan (2022-28)","SARGUJA, Sitting Rajya Sabha",Normal/Others
Mizoram,KOLASIB,7,7,0,100.0,0.0,0.0,1,RICHARD VANLALHMANGAIHA,MIZORAM,Normal/Others
Mizoram,CHAMPHAI,7,7,0,100.0,0.0,0.0,1,RICHARD VANLALHMANGAIHA,MIZORAM,Normal/Others
Sikkim,MANGAN,7,7,0,100.0,0.0,0.0,2,"Indra Hang Subba, Shri Dorjee Tshering Lepcha (2024-30)","SIKKIM, Sitting Rajya Sabha",Normal/Others
Uttar Pradesh,SULTANPUR,7,7,0,100.0,0.0,0.0,2,"KISHORI LAL, RAMBHUAL NISHAD","AMETHI, SULTANPUR",Normal/Others
Rajasthan,GANGAPURCITY,7,7,0,100.0,0.0,0.0,4,"BHAJAN LAL JATAV, Shri Mukul Wasnik (2022-28), Shri Pramod Tiwari (2022-28), Shri Randeep Singh Surjewala (2022-28)","KARAULI-DHOLPUR, Sitting Rajya Sabha",Normal/Others
Madhya Pradesh,RATLAM,7,7,0,100.0,0.0,0.0,2,"ANITA NAGARSINGH CHOUHAN, Shri Anil Firojiya","RATLAM, UJJAIN",Normal/Others
Jharkhand,KHUNTI,7,7,0,100.0,0.0,0.0,1,KALI CHARAN MUNDA,KHUNTI,Normal/Others
Rajasthan,BANSWARA,7,7,0,100.0,0.0,0.0,2,"RAJ KUMAR ROAT, Shri Chunnilal Garasiya (2024-30)","BANSWARA, Sitting Rajya Sabha",Normal/Others
Telangana,MULUGU,7,7,0,100.0,0.0,0.0,1,BALRAM NAIK PORIKA,MAHABUBABAD,Normal/Others
West Bengal,PASCHIM BARDHAMAN,7,7,0,100.0,0.0,0.0,2,"AZAD KIRTI JHA, Shatrughan Sinha","ASANSOL, BARDHAMAN-DURGAPUR",Normal/Others
Madhya Pradesh,GUNA,7,7,0,100.0,0.0,0.0,1,JYOTIRADITYA M. SCINDIA,GUNA,Normal/Others
Telangana,PEDDAPALLI,7,7,0,100.0,0.0,0.0,2,"Shri Damodar Rao Divakonda (2022-28), VAMSI KRISHNA GADDAM","PEDDAPALLE, Sitting Rajya Sabha",Normal/Others
Jammu And Kashmir,SHOPIAN,7,7,0,100.0,0.0,0.0,2,"AGA SYED RUHULLAH MEHDI, MIAN ALTAF AHMAD","ANANTNAG, SRINAGAR",Normal/Others
Maharashtra,CHANDRAPUR,7,7,0,100.0,0.0,0.0,2,"DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU, DR. KIRSAN NAMDEO","CHANDRAPUR, GADCHIROLI-CHIMUR",Normal/Others
Andhra Pradesh,NTR,18,6,12,33.33,0.0,1396663.0,3,"Shri V. Vijayendra Prasad (2022-28), Shri Yerram Venkata Subba Reddy (2024-30), Sivanath Kesineni","Nominated Rajya Sabha, Sitting Rajya Sabha, VIJAYAWADA",Normal/Others
Assam,LAKHIMPUR,9,6,3,66.67,0.0,1197908.0,2,"Pradan Baruah, RANJIT DUTTA","LAKHIMPUR, Sonitpur",Normal/Others
Madhya Pradesh,KATNI,6,6,0,100.0,0.0,0.0,2,"Smt Himadri Singh, Smt. Sumitra Balmik (2022-28)","SHAHDOL, Sitting Rajya Sabha",Normal/Others
Meghalaya,EAST JAINTIA HILLS,6,6,0,100.0,0.0,0.0,1,ANDREW J. SYNGKON,SHILLONG,Normal/Others
Assam,MARIGAON,6,6,0,100.0,0.0,0.0,1,Pradyut Bordoloi,NOWGONG,Normal/Others
Uttar Pradesh,SAMBHAL,6,6,0,100.0,0.0,0.0,1,ADITYA YADAV,BADAUN,Normal/Others
Assam,UDALGURI,6,6,0,100.0,0.0,0.0,2,"Dilip Saikia, Shri Rwngwra Narzary (2022-28)","Darrang-Udalguri, Sitting Rajya Sabha",Normal/Others
Himachal Pradesh,BILASPUR,6,6,0,100.0,0.0,0.0,2,"Anurag Singh Thakur, Shri Harsh Mahajan (2024-30)","HAMIRPUR, Sitting Rajya Sabha",Normal/Others
Haryana,CHARKHI DADRI,6,6,0,100.0,0.0,0.0,1,Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,Normal/Others
Rajasthan,SANCHOR,6,6,0,100.0,0.0,0.0,1,LUMBARAM,JALORE,Normal/Others
Rajasthan,KEKRI,6,6,0,100.0,0.0,0.0,1,Bhagirath Chaudhary,AJMER,Normal/Others
Jammu And Kashmir,ANANTNAG,6,6,0,100.0,0.0,0.0,1,MIAN ALTAF AHMAD,ANANTNAG,Normal/Others
Delhi,NEW DELHI,6,6,0,100.0,0.0,0.0,2,"Shri Narain Dass Gupta (2024-30), Shri Sanjay Singh (2024-30)",Sitting Rajya Sabha,Normal/Others
Madhya Pradesh,KAITHAL,6,6,0,100.0,0.0,0.0,1,Shri Ashok Singh (2024-30),Sitting Rajya Sabha,Normal/Others
Odisha,NABARANGPUR,6,6,0,100.0,0.0,0.0,1,BALABHADRA MAJHI,NABARANGPUR,Normal/Others
Assam,TINSUKIA,6,5,1,83.33,0.0,0.0,3,"GAURAV GOGOI, Shri Pabitra Margherita (2022-28), Shri Sarbananda Sonowal (18LS)","DIBRUGARH, JORHAT, Sitting Rajya Sabha",Normal/Others
Nagaland,DIMAPUR,5,5,0,100.0,0.0,0.0,2,"S SUPONGMEREN JAMIR, Smt. S. Phangnon Konyak (2022-28)","NAGALAND, Sitting Rajya Sabha",Normal/Others
Arunachal Pradesh,LOWER DIBANG VALLEY,5,5,0,100.0,0.0,0.0,1,Shri Tapir Gao,ARUNACHAL EAST,Normal/Others
Sikkim,GYALSHING,5,5,0,100.0,0.0,0.0,2,"Indra Hang Subba, Shri Dorjee Tshering Lepcha (2024-30)","SIKKIM, Sitting Rajya Sabha",Normal/Others
Arunachal Pradesh,EAST KAMENG,5,5,0,100.0,0.0,0.0,1,Kiren Rijiju,ARUNACHAL WEST,Normal/Others
Rajasthan,JAIPUR GRAMIN,5,5,0,100.0,0.0,0.0,4,"AMRARAM, Shri Ghanshyam Tiwari (2022-28), Shri Madan Rathore (2024-30), Shri Mukul Wasnik (2022-28)","SIKAR, Sitting Rajya Sabha",Normal/Others
Rajasthan,SALUMBAR,5,5,0,100.0,0.0,0.0,3,"MANNA LAL RAWAT, Shri Chunnilal Garasiya (2024-30), Shri Mukul Wasnik (2022-28)","Sitting Rajya Sabha, UDAIPUR",Normal/Others
Uttarakhand,ALMORA,5,5,0,100.0,0.0,0.0,3,"Ajay Tamta, Dr. Kalpana Saini (2022-28), Shri Naresh Bansal (2020-26)","ALMORA, Sitting Rajya Sabha",Normal/Others
Rajasthan,PRATAPGARH,5,5,0,100.0,0.0,0.0,3,"Chandra Prakash Joshi, Shri Chunnilal Garasiya (2024-30), Shri Pramod Tiwari (2022-28)","CHITTORGARH, Sitting Rajya Sabha",Normal/Others
Chhattisgarh,MANENDRAGARH-CHIRMIRI-BHARATPUR,5,5,0,100.0,0.0,0.0,1,Jyotsna Charandas Mahant ,KORBA,Normal/Others
Jharkhand,AGRA,5,5,0,100.0,0.0,0.0,1,Dr. Sarfraz Ahmad (2024-30),Sitting Rajya Sabha,Normal/Others
Odisha,JAGATSINGHAPUR,5,5,0,100.0,0.0,0.0,2,"BIBHU PRASAD TARAI, Smt. Sulata Deo (2022-28)","JAGATSINGHPUR, Sitting Rajya Sabha",Normal/Others
Chhattisgarh,KONDAGAON,5,5,0,100.0,0.0,0.0,2,"BHOJRAJ NAG, MAHESH KASHYAP","BASTAR, KANKER",Normal/Others
Rajasthan,KHAIRTHAL-TIJARA,5,5,0,100.0,0.0,0.0,1,BHUPENDER YADAV,ALWAR,Normal/Others
Tamil Nadu,NAGAPATTINAM,5,5,0,100.0,0.0,0.0,1,SELVARAJ V,NAGAPATTINAM,Normal/Others
Gujarat,CHHOTAUDEPUR,5,5,0,100.0,0.0,0.0,2,"JASHUBHAI BHILUBHAI RATHVA, Shri Govindbhai Laljibhai Dholakia (2024-30)","CHHOTA UDAIPUR, Sitting Rajya Sabha",Normal/Others
Gujarat,DANGS,5,5,0,100.0,0.0,0.0,2,"DHAVAL LAXMANBHAI PATEL, Shri Govindbhai Laljibhai Dholakia (2024-30)","Sitting Rajya Sabha, VALSAD",Normal/Others
Jammu And Kashmir,RAJOURI,5,5,0,100.0,0.0,0.0,2,"MIAN ALTAF AHMAD, Shri Jugal Kishore Sharma","ANANTNAG, JAMMU",Normal/Others
Madhya Pradesh,GWALIOR,5,5,0,100.0,0.0,0.0,2,"BHARAT SINGH KUSHWAH, Shri Ashok Singh (2024-30)","GWALIOR, Sitting Rajya Sabha",Normal/Others
Arunachal Pradesh,LONGDING,7,4,3,57.14,0.0,0.0,1,Shri Tapir Gao,ARUNACHAL EAST,Normal/Others
Nagaland,PEREN,4,4,0,100.0,0.0,0.0,2,"S SUPONGMEREN JAMIR, Smt. S. Phangnon Konyak (2022-28)","NAGALAND, Sitting Rajya Sabha",Normal/Others
Jammu And Kashmir,POONCH,4,4,0,100.0,0.0,0.0,2,"MIAN ALTAF AHMAD, Shri Gulam Ali (2022-28)","ANANTNAG, Nominated Rajya Sabha",Normal/Others
Meghalaya,WEST KHASI HILLS,4,4,0,100.0,0.0,0.0,1,ANDREW J. SYNGKON,SHILLONG,Normal/Others
Meghalaya,SOUTH GARO HILLS,4,4,0,100.0,0.0,0.0,1,SALENG A SANGMA,TURA,Normal/Others
Arunachal Pradesh,LEPARADA,4,4,0,100.0,0.0,0.0,1,Kiren Rijiju,ARUNACHAL WEST,Normal/Others
Arunachal Pradesh,LOWER SUBANSIRI,4,4,0,100.0,0.0,0.0,1,Kiren Rijiju,ARUNACHAL WEST,Normal/Others
Karnataka,PAKYONG,4,4,0,100.0,0.0,0.0,1,Shri Narayanasa K. Bhandage (2024-30),Sitting Rajya Sabha,Normal/Others
Rajasthan,PHALODI,4,4,0,100.0,0.0,0.0,1,Smt. Sonia Gandhi (2024-30),Sitting Rajya Sabha,Normal/Others
Andhra Pradesh,MAHABUBNAGAR,4,4,0,100.0,0.0,0.0,1,Shri V. Vijayendra Prasad (2022-28),Nominated Rajya Sabha,Normal/Others
Gujarat,BOTAD,4,4,0,100.0,0.0,0.0,2,"CHANDUBHAI CHHAGANBHAI SHIHORA, NIMUBEN JAYANTIBHAI BAMBHANIYA","BHAVNAGAR, SURENDRANAGAR",Normal/Others
Telangana,MAHABUBNAGAR,4,4,0,100.0,0.0,0.0,1,Shri Anil Kumar Yadav Mandadi (2024-30),Sitting Rajya Sabha,Normal/Others
Assam,BONGAIGAON,4,4,0,100.0,0.0,0.0,2,"PHANI BHUSAN CHOUDHURY, RAKIBUL HUSSAIN","BARPETA, DHUBRI",Normal/Others
Punjab,MALERKOTLA,4,4,0,100.0,0.0,0.0,1,Shri Amar Singh,FATEHGARH SAHIB,Normal/Others
Maharashtra,GOPALGANJ,4,4,0,100.0,0.0,0.0,1,Shri Dhananjay Bhimrao Mahadik (2022-28),Sitting Rajya Sabha,Normal/Others
Maharashtra,PURBI CHAMPARAN,4,4,0,100.0,0.0,0.0,1,Shri Dhananjay Bhimrao Mahadik (2022-28),Sitting Rajya Sabha,Normal/Others
Haryana,FARIDABAD,4,4,0,100.0,0.0,0.0,1,Krishan Pal Gurjar,FARIDABAD,Normal/Others
Jammu And Kashmir,GANDERBAL,4,4,0,100.0,0.0,0.0,1,AGA SYED RUHULLAH MEHDI,SRINAGAR,Normal/Others
Andhra Pradesh,VISAKHAPATNAM,29,3,26,10.34,0.0,14142930.0,4,"C.M.RAMESH, Shri Golla Baburao (2024-30), Shri S Niranjan Reddy (2022-28), Sribharat MathuKumli","ANAKAPALLE, Sitting Rajya Sabha, VISAKHAPATNAM",Normal/Others
Arunachal Pradesh,LOWER SIANG,5,3,2,60.0,0.0,0.0,2,"Kiren Rijiju, Shri Tapir Gao","ARUNACHAL EAST, ARUNACHAL WEST",Normal/Others
Arunachal Pradesh,LOHIT,4,3,1,75.0,0.0,0.0,1,Shri Tapir Gao,ARUNACHAL EAST,Normal/Others
Nagaland,TUENSANG,3,3,0,100.0,0.0,0.0,1,Smt. S. Phangnon Konyak (2022-28),Sitting Rajya Sabha,Normal/Others
Nagaland,WOKHA,3,3,0,100.0,0.0,0.0,1,Smt. S. Phangnon Konyak (2022-28),Sitting Rajya Sabha,Normal/Others
Madhya Pradesh,SHAJAPUR,3,3,0,100.0,0.0,0.0,3,"Mahendra Singh Solanky, Shri Banshilal Gurjar (2024-30), Smt. Sumitra Balmik (2022-28)","DEWAS, Sitting Rajya Sabha",Normal/Others
Jammu And Kashmir,PILIBHIT,3,3,0,100.0,0.0,0.0,1,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Normal/Others
Meghalaya,WEST JAINTIA HILLS,3,3,0,100.0,0.0,0.0,1,ANDREW J. SYNGKON,SHILLONG,Normal/Others
Mizoram,SERCHHIP,3,3,0,100.0,0.0,0.0,1,RICHARD VANLALHMANGAIHA,MIZORAM,Normal/Others
Mizoram,SAITUAL,3,3,0,100.0,0.0,0.0,1,RICHARD VANLALHMANGAIHA,MIZORAM,Normal/Others
Arunachal Pradesh,WEST SIANG,3,3,0,100.0,0.0,0.0,1,Kiren Rijiju,ARUNACHAL WEST,Normal/Others
Manipur,THOUBAL,3,3,0,100.0,0.0,0.0,2,"ALFRED KANNGAM S ARTHUR, ANGOMCHA BIMOL AKOIJAM","INNER MANIPUR, OUTER MANIPUR",Normal/Others
Manipur,IMPHAL EAST,3,3,0,100.0,0.0,0.0,1,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,Normal/Others
Uttar Pradesh,HARDOI,3,3,0,100.0,0.0,0.0,1,Jai Prakash,HARDOI,Normal/Others
Assam,NALBARI,3,3,0,100.0,0.0,0.0,2,"PHANI BHUSAN CHOUDHURY, Shri Rwngwra Narzary (2022-28)","BARPETA, Sitting Rajya Sabha",Normal/Others
Chhattisgarh,NARAYANPUR,3,3,0,100.0,0.0,0.0,1,MAHESH KASHYAP,BASTAR,Normal/Others
Chhattisgarh,SUKMA,3,3,0,100.0,0.0,0.0,1,MAHESH KASHYAP,BASTAR,Normal/Others
Karnataka,BALLARI,3,3,0,100.0,0.0,0.0,2,"E. TUKARAM, Smt. Nirmala Sitharaman (2022-28)","BELLARY, Sitting Rajya Sabha",Normal/Others
Karnataka,YADGIR,3,3,0,100.0,0.0,0.0,2,"G. KUMAR NAIK, Smt. Nirmala Sitharaman (2022-28)","RAICHUR, Sitting Rajya Sabha",Normal/Others
Chhattisgarh,SURAJPUR,3,3,0,100.0,0.0,0.0,1,CHINTAMANI MAHARAJ,SARGUJA,Normal/Others
Chhattisgarh,BEMETARA,3,3,0,100.0,0.0,0.0,1,Vijay Baghel,DURG,Normal/Others
Madhya Pradesh,PANDHURNA,3,3,0,100.0,0.0,0.0,1,BUNTY VIVEK SAHU,CHHINDWARA,Normal/Others
Uttarakhand,PAURI GARHWAL,3,3,0,100.0,0.0,0.0,2,"ANIL BALUNI, Dr. Kalpana Saini (2022-28)","GARHWAL, Sitting Rajya Sabha",Normal/Others
Rajasthan,DUDU,3,3,0,100.0,0.0,0.0,1,Bhagirath Chaudhary,AJMER,Normal/Others
Madhya Pradesh,AGAR-MALWA,3,3,0,100.0,0.0,0.0,1,Mahendra Singh Solanky,DEWAS,Normal/Others
Assam,SIVASAGAR,3,3,0,100.0,0.0,0.0,1,GAURAV GOGOI,JORHAT,Normal/Others
Odisha,RAYAGADA,3,3,0,100.0,0.0,0.0,1,Saptagiri Sankar Ulaka,KORAPUT,Normal/Others
Gujarat,TAPI,3,3,0,100.0,0.0,0.0,1,Prabhubhai Nagarbhai Vasava,BARDOLI,Normal/Others
Jammu And Kashmir,BUDGAM,3,3,0,100.0,0.0,0.0,2,"ABDUL RASHID SHEIKH, AGA SYED RUHULLAH MEHDI","BARAMULLAH, SRINAGAR",Normal/Others
Uttar Pradesh,BHADOHI,3,3,0,100.0,0.0,0.0,1,Smt. Jaya Amitabh Bachchan (2024-30),Sitting Rajya Sabha,Normal/Others
Telangana,MANCHERIAL,3,3,0,100.0,0.0,0.0,1,VAMSI KRISHNA GADDAM,PEDDAPALLE,Normal/Others
Madhya Pradesh,PANNA,3,3,0,100.0,0.0,0.0,1,Vishnu Dutt Sharma,KHAJURAHO,Normal/Others
Odisha,JAJPUR,3,3,0,100.0,0.0,0.0,1,RABINDRA NARAYAN BEHERA,JAJPUR,Normal/Others
Odisha,BALANGIR,3,3,0,100.0,0.0,0.0,1,Smt Sangeeta Kumari Singh Deo,BOLANGIR,Normal/Others
Andhra Pradesh,PARVATHIPURAM MANYAM,50,2,48,4.0,0.0,8435464.0,2,"Gumma Thanuja Rani, Kinjarapu Ram Mohan Naidu","ARAKU, SRIKAKULAM",Normal/Others
Nagaland,TSEMINYU,2,2,0,100.0,0.0,0.0,1,Smt. S. Phangnon Konyak (2022-28),Sitting Rajya Sabha,Normal/Others
Nagaland,PHEK,2,2,0,100.0,0.0,0.0,2,"S SUPONGMEREN JAMIR, Smt. S. Phangnon Konyak (2022-28)","NAGALAND, Sitting Rajya Sabha",Normal/Others
