mp_id,mp_name,house,state,constituency,allocated_amount,total_expenditure,utilization_percentage,unspent_amount,completed_works_count,recommended_works_count,completed_works_value,in_progress_payments,payment_gap_percentage,last_updated
6a932b5bcd944524379edf47,Sanjay Uttamrao Deshmukh,Lok Sabha,Maharashtra,YAVATMAL-WASHIM,185640423.0,24518118.0,13.207316382811731,161122305.0,23,101,14389957.0,10128161.0,41.30888431159357,2026-08-31T17:51:25.110Z
6a932b5ecd944524379ee239,Shri Golla Baburao (2024-30),Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,147000000.0,19348372.0,13.162157823129252,127651628.0,2,42,1998433.0,17349939.0,89.6713118809169,2026-08-31T17:51:25.205Z
6a932b5bcd944524379edfc4,VISHAL,Lok Sabha,Maharashtra,SANGLI,147000000.0,19819890.0,13.482918367346938,127180110.0,11,73,10964597.0,8855293.0,44.6788201145415,2026-08-31T17:51:25.100Z
6a932b5bcd944524379ededb,MURLIDHAR MOHOL,Lok Sabha,Maharashtra,PUNE,147000000.0,18945481.0,12.88808231292517,128054519.0,12,87,11996657.0,6948824.0,36.678002527357314,2026-08-31T17:51:25.385Z
6a932b5bcd944524379edf05,PRIYANKA SATISH JARKIHOLI,Lok Sabha,Karnataka,CHIKKODI,147000000.0,17958285.0,12.216520408163266,129041715.0,16,143,11270925.0,6687360.0,37.23829975969309,2026-08-31T17:51:25.383Z
6a932b5ecd944524379ee2bc,Smt. Jaya Amitabh Bachchan (2024-30),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,147000000.0,21904185.0,14.900806122448978,125095815.0,10,13,19565958.0,2338227.0,10.6747957068478,2026-08-31T17:51:25.473Z
6a932b5bcd944524379edecb,Manoj Tiwari,Lok Sabha,Delhi,NORTH EAST DELHI,225843858.0,28650238.0,12.685861042986607,197193620.0,6,17,5756284.0,22893954.0,79.90842519353592,2026-08-31T17:51:25.474Z
6a932b5ecd944524379ee292,Shri S Niranjan Reddy (2022-28),Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,224621383.11,29522116.0,13.143056814650024,195099267.11,3,16,5657203.0,23864913.0,80.83740677666871,2026-08-31T17:51:25.474Z
6a932b5bcd944524379eddd9,Anurag Singh Thakur,Lok Sabha,Himachal Pradesh,HAMIRPUR,149570117.11,18576823.0,12.42014338087189,130993294.11,45,162,6497496.0,12079327.0,65.02364263254272,2026-08-31T17:51:25.483Z
6a932b5ecd944524379ee21d,Shri Ashok Singh (2024-30),Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,147000000.0,18068265.0,12.291336734693878,128931735.0,11,99,5151752.0,12916513.0,71.48729000819945,2026-08-31T17:51:25.480Z
6a932b5bcd944524379eddef,BAIJAYANT PANDA,Lok Sabha,Odisha,KENDRAPARA,147000000.0,17127535.0,11.651384353741497,129872465.0,8,48,6418056.0,10709479.0,62.52784770254447,2026-08-31T17:51:25.637Z
6a932b5bcd944524379edec8,MANOHAR LAL,Lok Sabha,Haryana,KARNAL,147000000.0,16619897.0,11.30605238095238,130380103.0,1,19,495787.0,16124110.0,97.01690690381535,2026-08-31T17:51:25.640Z
6a932b5bcd944524379ede07,BIBHU PRASAD TARAI,Lok Sabha,Odisha,JAGATSINGHPUR,147000000.0,16233683.0,11.043321768707482,130766317.0,15,324,4139608.0,12094075.0,74.49988397580512,2026-08-31T17:51:25.642Z
6a932b5bcd944524379ede4c,DR. SHARMILA SARKAR,Lok Sabha,West Bengal,BARDHAMAN PURBA,147000000.0,21224009.0,14.438101360544216,125775991.0,17,94,13306505.0,7917504.0,37.30446966923167,2026-08-31T17:51:24.695Z
6a932b5bcd944524379edfb9,VAMSI KRISHNA GADDAM,Lok Sabha,Telangana,PEDDAPALLE,148451721.11,16373473.0,11.029493546839754,132078248.11,9,62,7049840.0,9323633.0,56.943526886446136,2026-08-31T17:51:25.763Z
6a932b5bcd944524379edf82,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Lok Sabha,Maharashtra,SATARA,147000000.0,16135149.0,10.976291836734694,130864851.0,16,118,11976649.0,4158500.0,25.772925927117253,2026-08-31T17:51:25.767Z
6a932b5ecd944524379ee274,Shri P. Wilson (2025-31),Rajya Sabha,Tamil Nadu,Sitting Rajya Sabha,89248285.42,9998159.0,11.20263426120618,79250126.42,1,34,4998159.0,5000000.0,50.009206694952546,2026-08-31T17:51:25.636Z
