workId,state,state_hi,district,district_hi,location,location_hi,category,category_hi,estimated_cost,status,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency
251424,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,201000,Recommended,Recommended,2025-11-30T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Providing Electrical Line in Makivalasa GP limits of Narasannapeta mandal.,Providing Electrical Line in Makivalasa GP limits of Narasannapeta mandal.,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
141507,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,600000,Recommended,Recommended,2024-09-18T00:00:00.000Z,2024,Lok Sabha,18,0,True,562848,2,"Minor Repairs to Govt. SW Girls Hostel at Thagguvaripalle, Bangarupalem Mandal of Puthalapattu Constituency.","Minor Repairs to Govt. SW Girls Hostel at Thagguvaripalle, Bangarupalem Mandal of Puthalapattu Constituency.",,DAGGUMALLA PRASADA RAO,,CHITTOOR
251427,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-11-30T00:00:00.000Z,2025,Lok Sabha,18,0,True,323756,1,"Construction of Bus Shelter building at Paraselli village, Narasannapeta mandal","Construction of Bus Shelter building at Paraselli village, Narasannapeta mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
199547,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,150000,Recommended,Recommended,2025-05-19T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Providing new submersible pumpset with all its accessories at Akkurthy Ho Akkurthy GP in Srikalahasthi Mandal.,Providing new submersible pumpset with all its accessories at Akkurthy Ho Akkurthy GP in Srikalahasthi Mandal.,,Maddila Gurumoorthy,,TIRUPATI
251431,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,585000,Recommended,Recommended,2025-11-30T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Providing Electrical Poles and Line in (1)  Kanugulavanaipeta GP Limits of Srikakulam mandal and (2) Batteru GP Limits, Srikakulam mandal","Providing Electrical Poles and Line in (1)  Kanugulavanaipeta GP Limits of Srikakulam mandal and (2) Batteru GP Limits, Srikakulam mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
161714,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,90000,Recommended,Recommended,2024-12-27T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,"Providing street lights and fixtures at kolladam panchayat, Satyavedu Mandal.","Providing street lights and fixtures at kolladam panchayat, Satyavedu Mandal.",,Maddila Gurumoorthy,,TIRUPATI
251434,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,600000,Recommended,Recommended,2025-11-30T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Providing Electrical Poles and line in Shyampalem of Voppangi GP Limits, Srikakulam mandal","Providing Electrical Poles and line in Shyampalem of Voppangi GP Limits, Srikakulam mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
199550,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,200000,Recommended,Recommended,2025-05-19T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Construction of CC Open drain with cover slab from Ramalayam temple to venkatamuni house at Akkurthy Ho Akkurthy GP in Srikalahasthi Mandal.,Construction of CC Open drain with cover slab from Ramalayam temple to venkatamuni house at Akkurthy Ho Akkurthy GP in Srikalahasthi Mandal.,,Maddila Gurumoorthy,,TIRUPATI
251440,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,530000,Recommended,Recommended,2025-11-30T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Providing Electrical Poles and Line in Vadada GP Limits, Gara mandal","Providing Electrical Poles and Line in Vadada GP Limits, Gara mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
251438,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,490000,Recommended,Recommended,2025-11-30T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Providing Electrical Poles and Line in Balarampuram GP and Deepavali Limits of Gara limits,Providing Electrical Poles and Line in Balarampuram GP and Deepavali Limits of Gara limits,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
