id,name,constituency,state,house,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completedWorksValue,inProgressPayments,paymentGapPercentage,completionRate,pendingWorks,unspentAmount,totalRecommendedAmount,name_hi,constituency_hi,state_hi
6a932b5bcd944524379edf2b,Ramprit Mandal,JHANJHARPUR,Bihar,Lok Sabha,147000000.0,107510581.0,73.13644965986394,90,91,92399719.0,15110862.0,14.05523238684758,49.72375690607735,1,39489419.0,56964407.0,Ramprit Mandal,JHANJHARPUR,Bihar
6a932b5ecd944524379ee1f4,Dr. Dharmshila Gupta (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,186200000.0,136714265.0,73.42334317937701,87,55,114316446.0,22397819.0,16.382942189682986,61.267605633802816,-32,49485735.0,65333882.0,Dr. Dharmshila Gupta (2024-30),Sitting Rajya Sabha,Bihar
6a932b5bcd944524379edf24,RAM PRASAD CHAUDHARY,BASTI,Uttar Pradesh,Lok Sabha,204176957.11,148429426.0,72.69646296081976,37,146,63914240.0,84515186.0,56.93964349090726,20.21857923497268,109,55747531.110000014,134157534.0,RAM PRASAD CHAUDHARY,BASTI,Uttar Pradesh
6a932b5ecd944524379ee249,Shri Javed Ali Khan (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,160977854.28,82.10476655313283,125,68,101806791.0,59171063.28,36.75726921858434,64.76683937823834,-57,35086102.83000001,91786508.0,Shri Javed Ali Khan (2022-28),Sitting Rajya Sabha,Uttar Pradesh
6a932b5ecd944524379ee2a7,Shri Shambhu Sharan Patel (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,237168443.49,175484824.0,73.99164130678251,199,109,157543823.0,17941001.0,10.223676663914825,64.6103896103896,-90,61683619.49000001,70031089.0,Shri Shambhu Sharan Patel (2022-28),Sitting Rajya Sabha,Bihar
6a932b5ecd944524379ee27f,Shri R. Dharmar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,260812242.52,207877791.0,79.70400046848229,189,55,204379819.0,3497972.0,1.6827059702592277,77.45901639344262,-134,52934451.52000001,54800000.0,Shri R. Dharmar (2022-28),Sitting Rajya Sabha,Tamil Nadu
6a932b5ecd944524379ee280,Shri R. Girirajan (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,236312242.52,165928789.0,70.21590893072617,150,71,124310817.0,41617972.0,25.08182712042815,67.87330316742081,-79,70383453.52000001,56270000.0,Shri R. Girirajan (2022-28),Sitting Rajya Sabha,Tamil Nadu
6a932b5ecd944524379ee28a,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,174518577.11,141923083.0,81.32262212437425,154,91,133996851.0,7926232.0,5.5848786768534335,62.857142857142854,-63,32595494.110000014,22403084.0,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh
6a932b5bcd944524379ede4a,DR. RAJESH MISHRA,SIDHI,Madhya Pradesh,Lok Sabha,262724510.35,184983789.0,70.40979494207286,172,169,136499025.0,48484764.0,26.210277269215197,50.43988269794721,-3,77740721.35,99862816.0,DR. RAJESH MISHRA,SIDHI,Madhya Pradesh
6a932b5ecd944524379ee1f2,Dr. Bhim Singh (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,186200000.0,139819329.0,75.09093931256713,233,81,93849329.0,45970000.0,32.87814376508702,74.20382165605095,-152,46380671.0,75354185.0,Dr. Bhim Singh (2024-30),Sitting Rajya Sabha,Bihar
