house,cand_id,candidate_name,constituency,party,criminal_cases,education,total_assets_raw,total_assets_num,liabilities_raw,liabilities_num
Lok Sabha,5236,Aruna. D. K,MAHBUBNAGAR,BJP,6,12th Pass,"Rs 66,75,69,871 ~ 66 Crore+",667569871.0,"Rs 1,61,32,436 ~ 1 Crore+",16132436.0
Lok Sabha,7977,Arup Chakraborty,BANKURA,AITC,0,Graduate Professional,"Rs 17,19,11,710 ~ 17 Crore+",171911710.0,"Rs 6,56,85,037 ~ 6 Crore+",65685037.0
Lok Sabha,5246,Arvind Dharmapuri,NIZAMABAD,BJP,22,Post Graduate,"Rs 1,09,90,20,273 ~ 109 Crore+",1099020273.0,"Rs 30,66,81,918 ~ 30 Crore+",306681918.0
Lok Sabha,7097,Arvind Ganpat Sawant,MUMBAI SOUTH,ShivSena (Uddhav Balasaheb Thackeray),1,Graduate,"Rs 5,04,85,191 ~ 5 Crore+",50485191.0,Rs 0 ~,0.0
Lok Sabha,5228,Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen,5,Graduate Professional,"Rs 23,87,66,044 ~ 23 Crore+",238766044.0,"Rs 7,05,00,000 ~ 7 Crore+",70500000.0
Lok Sabha,240,Ashish Dubey,JABALPUR,BJP,0,Graduate Professional,"Rs 35,18,56,860 ~ 35 Crore+",351856860.0,"Rs 1,35,29,284 ~ 1 Crore+",13529284.0
Lok Sabha,5077,Ashok Kumar Rawat,MISRIKH (SC),BJP,0,Post Graduate,"Rs 12,96,70,318 ~ 12 Crore+",129670318.0,"Rs 2,48,61,056 ~ 2 Crore+",24861056.0
Lok Sabha,7275,Ashok Kumar Yadav,MADHUBANI,BJP,2,Doctorate,"Rs 5,85,83,773 ~ 5 Crore+",58583773.0,"Rs 1,02,24,706 ~ 1 Crore+",10224706.0
Lok Sabha,2518,Atul Garg,GHAZIABAD,BJP,0,12th Pass,"Rs 26,97,82,311 ~ 26 Crore+",269782311.0,"Rs 1,29,01,326 ~ 1 Crore+",12901326.0
Lok Sabha,9413,Avimanyu Sethi,BHADRAK (SC),BJP,0,Post Graduate,"Rs 7,07,94,290 ~ 7 Crore+",70794290.0,"Rs 1,06,59,172 ~ 1 Crore+",10659172.0
Lok Sabha,7190,Awadhesh Prasad,FAIZABAD,SP,1,Post Graduate,"Rs 5,29,67,071 ~ 5 Crore+",52967071.0,"Rs 10,00,000 ~ 10 Lacs+",1000000.0
Lok Sabha,5195,Azad Kirti Jha,BURDWAN - DURGAPUR,AITC,1,Graduate,"Rs 10,20,14,033 ~ 10 Crore+",102014033.0,"Rs 57,38,812 ~ 57 Lacs+",5738812.0
Lok Sabha,5109,B K Parthasarathi,HINDUPUR,TDP,15,Graduate,"Rs 16,89,59,895 ~ 16 Crore+",168959895.0,"Rs 1,78,90,470 ~ 1 Crore+",17890470.0
Lok Sabha,4005,B.Y.Raghavendra,SHIMOGA,BJP,1,Graduate,"Rs 73,71,45,310 ~ 73 Crore+",737145310.0,"Rs 13,61,06,691 ~ 13 Crore+",136106691.0
Lok Sabha,8397,Babu Singh Kushwaha,JAUNPUR,SP,25,12th Pass,"Rs 20,01,49,000 ~ 20 Crore+",200149000.0,"Rs 2,82,55,000 ~ 2 Crore+",28255000.0
Lok Sabha,7088,Bachhav Shobha Dinesh,DHULE,INC,2,Others,"Rs 30,50,35,058 ~ 30 Crore+",305035058.0,"Rs 2,11,60,000 ~ 2 Crore+",21160000.0
Lok Sabha,5333,Bajrang Manohar Sonwane,BEED,Nationalist Congress Party – Sharadchandra Pawar,0,Graduate,"Rs 28,92,78,459 ~ 28 Crore+",289278459.0,"Rs 7,75,15,217 ~ 7 Crore+",77515217.0
Lok Sabha,6335,Balabhadra Majhi,NABARANGPUR (ST),BJP,2,Graduate,"Rs 7,88,63,561 ~ 7 Crore+",78863561.0,"Rs 11,24,732 ~ 11 Lacs+",1124732.0
Lok Sabha,6657,Balashowry Vallabhaneni,MACHILIPATNAM,Janasena Party,2,Post Graduate,"Rs 1,33,72,14,564 ~ 133 Crore+",1337214564.0,"Rs 86,81,02,917 ~ 86 Crore+",868102917.0
Lok Sabha,5297,Balram Naik Porika,MAHABUBABAD (ST),INC,6,10th Pass,"Rs 2,99,19,101 ~ 2 Crore+",29919101.0,"Rs 2,52,46,063 ~ 2 Crore+",25246063.0
Lok Sabha,1120,Balwant Baswant Wankhade,AMRAVATI (SC),INC,1,12th Pass,"Rs 1,73,58,730 ~ 1 Crore+",17358730.0,"Rs 31,07,392 ~ 31 Lacs+",3107392.0
Lok Sabha,5230,Bandi Sanjay Kumar,KARIMNAGAR,BJP,42,Post Graduate,"Rs 1,12,75,000 ~ 1 Crore+",11275000.0,"Rs 13,40,000 ~ 13 Lacs+",1340000.0
Lok Sabha,9027,Bandyopadhyay Sudip,KOLKATA UTTAR,AITC,2,Graduate,"Rs 8,48,12,907 ~ 8 Crore+",84812907.0,Rs 0 ~,0.0
Lok Sabha,7901,Bansuri Swaraj,NEW DELHI,BJP,0,Post Graduate,"Rs 19,29,46,528 ~ 19 Crore+",192946528.0,Rs 0 ~,0.0
Lok Sabha,3579,Basavaraj Bommai,HAVERI,BJP,0,Graduate Professional,"Rs 53,95,04,552 ~ 53 Crore+",539504552.0,"Rs 5,46,34,074 ~ 5 Crore+",54634074.0
Lok Sabha,6787,Bastipati Nagaraju Panchalingala,KURNOOL,TDP,0,Post Graduate,"Rs 9,01,76,000 ~ 9 Crore+",90176000.0,"Rs 19,36,439 ~ 19 Lacs+",1936439.0
Lok Sabha,2272,Benny Behanan,CHALAKUDY,INC,5,Graduate,"Rs 3,50,20,209 ~ 3 Crore+",35020209.0,"Rs 78,93,411 ~ 78 Lacs+",7893411.0
Lok Sabha,2038,Bhagirath Choudhary,AJMER,BJP,0,12th Pass,"Rs 13,38,11,555 ~ 13 Crore+",133811555.0,"Rs 54,32,413 ~ 54 Lacs+",5432413.0
Lok Sabha,451,Bhajan Lal Jatav,KARAULI-DHOLPUR (SC),INC,1,10th Pass,"Rs 3,32,82,184 ~ 3 Crore+",33282184.0,"Rs 1,89,78,157 ~ 1 Crore+",18978157.0
Lok Sabha,3554,Bharat Singh Kushwah,GWALIOR,BJP,0,12th Pass,"Rs 2,88,09,530 ~ 2 Crore+",28809530.0,"Rs 62,76,267 ~ 62 Lacs+",6276267.0
Lok Sabha,4067,Bharatbhai Manubhai Sutariya,AMRELI,BJP,0,10th Pass,"Rs 83,78,748 ~ 83 Lacs+",8378748.0,Rs 0 ~,0.0
Lok Sabha,45,Bharti Pardhi,BALAGHAT,BJP,0,Graduate,"Rs 5,90,18,167 ~ 5 Crore+",59018167.0,Rs 0 ~,0.0
Lok Sabha,7089,Bhaskar Murlidhar Bhagare,DINDORI (ST),Nationalist Congress Party – Sharadchandra Pawar,0,Post Graduate,"Rs 1,74,50,827 ~ 1 Crore+",17450827.0,"Rs 24,44,380 ~ 24 Lacs+",2444380.0
Lok Sabha,5331,Bhausaheb Rajaram Wakchaure,SHIRDI (SC),ShivSena (Uddhav Balasaheb Thackeray),0,Graduate Professional,"Rs 9,75,19,221 ~ 9 Crore+",97519221.0,"Rs 24,32,000 ~ 24 Lacs+",2432000.0
Lok Sabha,1932,Bhojraj Nag,KANKER (ST),BJP,0,8th Pass,"Rs 1,23,94,941 ~ 1 Crore+",12394941.0,"Rs 6,07,061 ~ 6 Lacs+",607061.0
Lok Sabha,5323,Bhumare Sandipanrao Asaram,AURANGABAD,Shiv Sena,4,10th Pass,"Rs 10,30,71,866 ~ 10 Crore+",103071866.0,"Rs 2,45,87,200 ~ 2 Crore+",24587200.0
Lok Sabha,5273,Bhupathi Raju Srinivasa Varma,NARSAPURAM,BJP,0,Post Graduate,"Rs 7,16,64,809 ~ 7 Crore+",71664809.0,"Rs 1,69,26,961 ~ 1 Crore+",16926961.0
Lok Sabha,360,Bhupender Yadav,ALWAR,BJP,0,Graduate Professional,"Rs 2,32,36,037 ~ 2 Crore+",23236037.0,Rs 0 ~,0.0
Lok Sabha,9616,Bibhu Prasad Tarai,JAGATSINGHPUR (SC),BJP,3,Post Graduate,"Rs 1,79,74,886 ~ 1 Crore+",17974886.0,"Rs 9,50,000 ~ 9 Lacs+",950000.0
Lok Sabha,8563,Bidyut Baran Mahato,JAMSHEDPUR,BJP,1,12th Pass,"Rs 3,83,45,063 ~ 3 Crore+",38345063.0,"Rs 48,49,078 ~ 48 Lacs+",4849078.0
Lok Sabha,1156,Biplab Kumar Deb,TRIPURA WEST,BJP,0,Graduate,"Rs 4,99,23,347 ~ 4 Crore+",49923347.0,Rs 0 ~,0.0
Lok Sabha,8803,Birendra Singh,CHANDAULI,SP,3,Graduate,"Rs 18,80,17,648 ~ 18 Crore+",188017648.0,"Rs 11,54,113 ~ 11 Lacs+",1154113.0
Lok Sabha,17,Bishnu Pada Ray,ANDAMAN AND NICOBAR ISLANDS,BJP,0,Graduate,"Rs 2,74,39,170 ~ 2 Crore+",27439170.0,"Rs 3,02,788 ~ 3 Lacs+",302788.0
Lok Sabha,444,Brijendra Singh Ola,JHUNJHUNU,INC,0,Post Graduate,"Rs 16,02,84,000 ~ 16 Crore+",160284000.0,"Rs 3,27,10,000 ~ 3 Crore+",32710000.0
Lok Sabha,3427,Brijmohan Agrawal,RAIPUR,BJP,0,Post Graduate,"Rs 18,02,19,000 ~ 18 Crore+",180219000.0,"Rs 92,33,000 ~ 92 Lacs+",9233000.0
