house,cand_id,candidate_name,constituency,party,criminal_cases,education,total_assets_raw,total_assets_num,liabilities_raw,liabilities_num
Lok Sabha,7216,Dr Shrikant Eknath Shinde,KALYAN,Shiv Sena,0,Post Graduate,"Rs 14,92,08,812 ~ 14 Crore+",149208812.0,"Rs 6,63,20,443 ~ 6 Crore+",66320443.0
Lok Sabha,5327,Dr. Amol Ramsing Kolhe,SHIRUR,Nationalist Congress Party – Sharadchandra Pawar,0,Graduate Professional,"Rs 8,42,07,251 ~ 8 Crore+",84207251.0,"Rs 4,49,71,049 ~ 4 Crore+",44971049.0
Lok Sabha,3606,Dr. Hemang Joshi,VADODARA,BJP,0,Post Graduate,"Rs 1,03,88,939 ~ 1 Crore+",10388939.0,"Rs 31,80,318 ~ 31 Lacs+",3180318.0
Lok Sabha,7349,Dr. Hemant Vishnu Savara,PALGHAR (ST),BJP,0,Graduate Professional,"Rs 8,16,22,050 ~ 8 Crore+",81622050.0,"Rs 1,07,76,056 ~ 1 Crore+",10776056.0
Lok Sabha,4318,Dr. Kalge Shivaji Bandappa,LATUR (SC),INC,0,Graduate Professional,"Rs 32,26,19,499 ~ 32 Crore+",322619499.0,"Rs 2,38,91,845 ~ 2 Crore+",23891845.0
Lok Sabha,317,Dr. Kirsan Namdeo,GADCHIROLI - CHIMUR (ST),INC,0,Doctorate,"Rs 5,94,76,042 ~ 5 Crore+",59476042.0,"Rs 28,28,488 ~ 28 Lacs+",2828488.0
Lok Sabha,3547,Dr. Lata Wankhede,SAGAR,BJP,0,Doctorate,"Rs 17,34,10,882 ~ 17 Crore+",173410882.0,"Rs 1,38,00,070 ~ 1 Crore+",13800070.0
Lok Sabha,2310,Dr. M.P Abdussamad Samadani,PONNANI,Indian Union Muslim League,1,Doctorate,"Rs 2,19,77,344 ~ 2 Crore+",21977344.0,Rs 0 ~,0.0
Lok Sabha,2512,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,0,Graduate Professional,"Rs 83,82,09,103 ~ 83 Crore+",838209103.0,"Rs 2,26,89,478 ~ 2 Crore+",22689478.0
Lok Sabha,3393,Dr. Prabha Mallikarjun,DAVANAGERE,INC,0,Graduate,"Rs 2,41,28,03,910 ~ 241 Crore+",2412803910.0,"Rs 24,71,24,278 ~ 24 Crore+",247124278.0
Lok Sabha,313,Dr. Prashant Yadaorao Padole,BHANDARA GONDIYA,INC,0,Graduate Professional,"Rs 14,46,68,874 ~ 14 Crore+",144668874.0,"Rs 2,25,13,000 ~ 2 Crore+",22513000.0
Lok Sabha,8884,Dr. Raj Kumar Chabbewal,HOSHIARPUR (SC),AAP,0,Post Graduate,"Rs 20,76,95,398 ~ 20 Crore+",207695398.0,"Rs 8,44,02,704 ~ 8 Crore+",84402704.0
Lok Sabha,1,Dr. Rajesh Mishra,SIDHI,BJP,1,Post Graduate,"Rs 14,40,08,066 ~ 14 Crore+",144008066.0,"Rs 1,84,27,959 ~ 1 Crore+",18427959.0
Lok Sabha,344,Dr. Ricky Andrew J. Syngkon,SHILLONG (ST),Voice of the People Party,0,Doctorate,"Rs 1,31,28,411 ~ 1 Crore+",13128411.0,"Rs 4,43,048 ~ 4 Lacs+",443048.0
Lok Sabha,5087,Dr. Sharmila Sarkar,BARDHAMAN PURBA (SC),AITC,0,Post Graduate,"Rs 5,49,78,907 ~ 5 Crore+",54978907.0,Rs 0 ~,0.0
Lok Sabha,8081,Dr. Vinod Kumar Bind,BHADOHI,BJP,0,Graduate Professional,"Rs 10,57,66,111 ~ 10 Crore+",105766111.0,"Rs 2,93,13,481 ~ 2 Crore+",29313481.0
Lok Sabha,2473,Dr. Virendra Kumar,TIKAMGARH (SC),BJP,0,Doctorate,"Rs 2,88,37,006 ~ 2 Crore+",28837006.0,Rs 0 ~,0.0
Lok Sabha,1081,Dr.Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,0,Post Graduate,"Rs 61,06,14,066 ~ 61 Crore+",610614066.0,"Rs 38,33,64,472 ~ 38 Crore+",383364472.0
Lok Sabha,5241,Dr.Mallu Ravi,NAGARKURNOOL (SC),INC,6,Graduate Professional,"Rs 52,32,15,816 ~ 52 Crore+",523215816.0,"Rs 4,78,68,830 ~ 4 Crore+",47868830.0
Lok Sabha,7852,Dr.Sanjay Jaiswal,PASCHIM CHAMPARAN,BJP,5,Post Graduate,"Rs 29,05,35,126 ~ 29 Crore+",290535126.0,"Rs 13,525 ~ 13 Thou+",13525.0
Lok Sabha,8469,Dulu Mahato,DHANBAD,BJP,22,12th Pass,"Rs 7,01,20,183 ~ 7 Crore+",70120183.0,"Rs 78,88,835 ~ 78 Lacs+",7888835.0
Lok Sabha,196,Durai Vaiko,TIRUCHIRAPPALLI,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,"Rs 35,90,84,317 ~ 35 Crore+",359084317.0,"Rs 2,55,69,046 ~ 2 Crore+",25569046.0
Lok Sabha,1830,Durgadas (D. D.) Uikey,BETUL (ST),BJP,0,Post Graduate,"Rs 1,84,87,232 ~ 1 Crore+",18487232.0,"Rs 11,82,315 ~ 11 Lacs+",1182315.0
Lok Sabha,2013,Dushyant Singh,JHALAWAR-BARAN,BJP,0,Post Graduate,"Rs 38,93,08,540 ~ 38 Crore+",389308540.0,"Rs 8,65,93,973 ~ 8 Crore+",86593973.0
Lok Sabha,3386,E. Tukaram,BELLARY (ST),INC,0,Post Graduate,"Rs 3,52,67,209 ~ 3 Crore+",35267209.0,"Rs 1,23,25,000 ~ 1 Crore+",12325000.0
Lok Sabha,5238,Eatala Rajender,MALKAJGIRI,BJP,45,Graduate,"Rs 54,01,78,712 ~ 54 Crore+",540178712.0,"Rs 20,41,57,216 ~ 20 Crore+",204157216.0
Lok Sabha,174,Eswarasamy K,POLLACHI,DMK,1,10th Pass,"Rs 34,52,76,957 ~ 34 Crore+",345276957.0,"Rs 9,45,57,521 ~ 9 Crore+",94557521.0
Lok Sabha,7,Faggan Singh Kulaste,MANDLA (ST),BJP,0,Post Graduate,"Rs 5,35,26,381 ~ 5 Crore+",53526381.0,"Rs 33,80,099 ~ 33 Lacs+",3380099.0
Lok Sabha,5300,G M Harish (Balayogi),AMALAPURAM (SC),TDP,0,Graduate Professional,"Rs 10,53,89,128 ~ 10 Crore+",105389128.0,"Rs 1,99,712 ~ 1 Lacs+",199712.0
Lok Sabha,5251,G. Kishan Reddy,SECUNDERABAD,BJP,0,Others,"Rs 19,22,41,721 ~ 19 Crore+",192241721.0,"Rs 1,63,00,000 ~ 1 Crore+",16300000.0
Lok Sabha,3585,G. Kumar Naik,RAICHUR (ST),INC,0,Graduate Professional,"Rs 33,41,28,505 ~ 33 Crore+",334128505.0,"Rs 5,04,02,456 ~ 5 Crore+",50402456.0
Lok Sabha,3930,Gaddigoudar Parvatgouda Chandangouda,BAGALKOT,BJP,0,Graduate Professional,"Rs 7,58,55,750 ~ 7 Crore+",75855750.0,"Rs 2,44,46,219 ~ 2 Crore+",24446219.0
Lok Sabha,7096,Gaikwad Varsha Eknath,MUMBAI NORTH - CENTRAL,INC,7,Post Graduate,"Rs 7,68,48,656 ~ 7 Crore+",76848656.0,"Rs 1,01,60,000 ~ 1 Crore+",10160000.0
Lok Sabha,1843,Gajendra Singh Shekhawat,JODHPUR,BJP,0,Post Graduate,"Rs 19,30,27,658 ~ 19 Crore+",193027658.0,"Rs 1,98,62,350 ~ 1 Crore+",19862350.0
Lok Sabha,1352,Ganapathy Rajkumar P,COIMBATORE,DMK,1,Doctorate,"Rs 89,03,97,608 ~ 89 Crore+",890397608.0,"Rs 3,32,84,669 ~ 3 Crore+",33284669.0
Lok Sabha,1836,Ganesh Singh,SATNA,BJP,3,Post Graduate,"Rs 9,46,81,128 ~ 9 Crore+",94681128.0,"Rs 2,28,64,373 ~ 2 Crore+",22864373.0
Lok Sabha,260,Gaurav Gogoi,JORHAT,INC,1,Post Graduate,"Rs 4,90,61,120 ~ 4 Crore+",49061120.0,Rs 0 ~,0.0
Lok Sabha,3453,Geniben Nagaji Thakor,BANASKANTHA,INC,1,Graduate,"Rs 85,33,965 ~ 85 Lacs+",8533965.0,"Rs 6,27,886 ~ 6 Lacs+",627886.0
Lok Sabha,2229,Giridhari Yadav,BANKA,JD(U),0,Post Graduate,"Rs 1,72,81,101 ~ 1 Crore+",17281101.0,"Rs 56,95,769 ~ 56 Lacs+",5695769.0
Lok Sabha,5058,Giriraj Singh,BEGUSARAI,BJP,3,Graduate,"Rs 14,31,69,297 ~ 14 Crore+",143169297.0,"Rs 90,00,000 ~ 90 Lacs+",9000000.0
Lok Sabha,5395,Godam Nagesh,ADILABAD (ST),BJP,1,Post Graduate,"Rs 3,09,16,833 ~ 3 Crore+",30916833.0,"Rs 29,01,575 ~ 29 Lacs+",2901575.0
Lok Sabha,1531,Gopinath K,KRISHNAGIRI,INC,0,10th Pass,"Rs 12,34,05,500 ~ 12 Crore+",123405500.0,"Rs 1,14,98,082 ~ 1 Crore+",11498082.0
Lok Sabha,1886,Govind Makthappa Karjol,CHITRADURGA (SC),BJP,0,10th Pass,"Rs 4,32,43,598 ~ 4 Crore+",43243598.0,Rs 0 ~,0.0
Lok Sabha,5099,Gumma Thanuja Rani,ARAKU (ST),YSRCP,0,Graduate Professional,"Rs 23,54,678 ~ 23 Lacs+",2354678.0,Rs 0 ~,0.0
Lok Sabha,8734,Gurjeet Singh Aujla,AMRITSAR,INC,0,Graduate,"Rs 5,35,08,591 ~ 5 Crore+",53508591.0,"Rs 1,37,81,750 ~ 1 Crore+",13781750.0
Lok Sabha,8730,Gurmeet Singh Hayer,SANGRUR,AAP,2,Graduate Professional,"Rs 3,74,16,362 ~ 3 Crore+",37416362.0,Rs 0 ~,0.0
Lok Sabha,5125,Gurumoorthy Maddila,THIRUPATHI (SC),YSRCP,0,Graduate Professional,"Rs 1,32,49,134 ~ 1 Crore+",13249134.0,"Rs 10,97,657 ~ 10 Lacs+",1097657.0
Lok Sabha,5069,Gyaneshwar Patil,KHANDWA,BJP,1,12th Pass,"Rs 7,22,37,099 ~ 7 Crore+",72237099.0,"Rs 54,46,068 ~ 54 Lacs+",5446068.0
Lok Sabha,2651,H.D. Kumaraswamy,MANDYA,Janata Dal (Secular),3,Graduate,"Rs 2,17,23,28,789 ~ 217 Crore+",2172328789.0,"Rs 82,18,06,608 ~ 82 Crore+",821806608.0
Lok Sabha,286,Harendra Singh Malik,MUZAFFARNAGAR,SP,1,Graduate,"Rs 9,07,80,765 ~ 9 Crore+",90780765.0,"Rs 11,29,635 ~ 11 Lacs+",1129635.0
Lok Sabha,3774,Haribhai Patel,MAHESANA,BJP,0,Others,"Rs 3,98,63,356 ~ 3 Crore+",39863356.0,"Rs 12,66,000 ~ 12 Lacs+",1266000.0
Lok Sabha,2583,Harish Chandra Meena,TONK-SAWAI MADHOPUR,INC,0,Graduate,"Rs 23,07,94,780 ~ 23 Crore+",230794780.0,Rs 0 ~,0.0
Lok Sabha,7899,Harsh Malhotra,EAST DELHI,BJP,0,Graduate Professional,"Rs 4,08,24,015 ~ 4 Crore+",40824015.0,Rs 0 ~,0.0
