constituency,state,projectCount,totalAmount
COOCHBEHAR,West Bengal,128,155846958.0
CUDDALORE,Tamil Nadu,238,169688032.0
CUTTACK,Odisha,747,214605006.0
DADRA & NAGAR HAVELI,The Dadra And Nagar Haveli And Daman And Diu,2,14700000.0
DAHOD,Gujarat,875,204759680.0
DAKSHINA KANNADA,Karnataka,311,168222598.0
DAMAN and DIU,The Dadra And Nagar Haveli And Daman And Diu,61,241786200.0
DAMOH,Madhya Pradesh,523,158022083.0
DARBHANGA,Bihar,452,204241078.0
DARJEELING,West Bengal,293,180629672.0
Darrang-Udalguri,Assam,502,142949999.99
DAUSA,Rajasthan,316,164805935.0
DAVANAGERE,Karnataka,172,142384394.0
DEORIA,Uttar Pradesh,230,201176638.0
DEWAS,Madhya Pradesh,307,182874373.0
DHANBAD,Jharkhand,641,204300250.0
DHAR,Madhya Pradesh,738,194601521.0
DHARAMAPURI,Tamil Nadu,504,257900236.0
DHARWAD,Karnataka,357,185575312.0
DHAURAHRA,Uttar Pradesh,209,146227430.38
DHENKANAL,Odisha,244,122656651.0
DHUBRI,Assam,270,145650429.0
DHULE,Maharashtra,192,172639942.0
DIAMOND HARBOUR,West Bengal,474,166738634.0
DIBRUGARH,Assam,219,181589085.91
DINDIGUL,Tamil Nadu,263,244627244.0
DINDORI,Maharashtra,284,192496224.0
Diphu,Assam,133,195414620.0
DOMARIYAGANJ,Uttar Pradesh,168,181468500.0
DUM DUM,West Bengal,124,129272450.0
DUMKA,Jharkhand,785,238863818.0
DURG,Chhattisgarh,350,188911719.0
EAST DELHI,Delhi,137,149150372.0
ELURU,Andhra Pradesh,189,191034157.0
ERNAKULAM,Kerala,152,219305909.0
ERODE,Tamil Nadu,344,226613753.0
ETAH,Uttar Pradesh,433,168026945.0
ETAWAH,Uttar Pradesh,809,244114060.45
FAIZABAD,Uttar Pradesh,279,209166503.0
FARIDABAD,Haryana,240,183891037.0
FARIDKOT,Punjab,839,212233222.0
FARRUKHABAD,Uttar Pradesh,642,208216129.01
FATEHGARH SAHIB,Punjab,692,180849569.0
FATEHPUR,Uttar Pradesh,152,159045364.0
FATEHPUR SIKRI,Uttar Pradesh,96,155489204.0
FIROZABAD,Uttar Pradesh,76,142688216.95
FIROZPUR,Punjab,641,168881847.0
GADCHIROLI-CHIMUR,Maharashtra,257,207405784.0
GANDHINAGAR,Gujarat,260,113886744.0
GANGANAGAR,Rajasthan,197,151442530.6
GARHWAL,Uttarakhand,377,108213145.0
GAUTAM BUDDHA NAGAR,Uttar Pradesh,260,219518756.28
GAYA,Bihar,348,164677755.0
GHATAL,West Bengal,409,282293354.0
GHAZIABAD,Uttar Pradesh,109,134793905.0
GHAZIPUR,Uttar Pradesh,476,207441264.0
GHOSI,Uttar Pradesh,378,180757294.86
GIRIDIH,Jharkhand,1015,213103387.0
GODDA,Jharkhand,2,4285510.0
GONDA,Uttar Pradesh,290,197569247.0
GOPALGANJ,Bihar,259,208223023.0
GORAKHPUR,Uttar Pradesh,144,93058614.72
GULBARGA,Karnataka,244,239631044.0
GUNA,Madhya Pradesh,85,188235113.0
GUNTUR,Andhra Pradesh,241,200141364.0
GURDASPUR,Punjab,509,211032049.0
GURGAON,Haryana,171,137687780.0
GUWAHATI,Assam,175,208549223.0
GWALIOR,Madhya Pradesh,249,158400159.47
HAJIPUR,Bihar,191,179617271.0
HAMIRPUR,Himachal Pradesh,863,128719867.0
HAMIRPUR,Uttar Pradesh,342,235958299.0
HARDOI,Uttar Pradesh,53,170278642.0
HARDWAR,Uttarakhand,276,138407855.0
HASSAN,Karnataka,473,193873004.0
HATHRAS,Uttar Pradesh,151,219876772.0
HATKANANGLE,Maharashtra,177,126520750.15
HAVERI,Karnataka,361,190018876.0
HAZARIBAGH,Jharkhand,286,153938605.31
HINDUPUR,Andhra Pradesh,156,141803190.0
HINGOLI,Maharashtra,229,225134155.0
HISAR,Haryana,776,235173496.0
HOOGHLY,West Bengal,411,196077635.43
HOSHANGABAD,Madhya Pradesh,763,121089149.0
HOSHIARPUR,Punjab,726,202954220.0
HOWRAH,West Bengal,365,182606939.0
HYDERABAD,Telangana,87,198511375.0
IDUKKI,Kerala,344,218468874.0
INDORE,Madhya Pradesh,484,187691905.92
INNER MANIPUR,Manipur,87,213153215.0
JABALPUR,Madhya Pradesh,705,162900771.0
JADAVPUR,West Bengal,472,153788692.0
JAGATSINGHPUR,Odisha,666,230974030.0
JAHANABAD,Bihar,546,212742652.0
JAIPUR,Rajasthan,138,181831650.0
JAIPUR RURAL,Rajasthan,248,164846773.0
JAJPUR,Odisha,399,159765646.0
JALANDHAR,Punjab,317,99924331.0
JALAUN,Uttar Pradesh,454,221067677.8
JALGAON,Maharashtra,191,111270063.0
JALNA,Maharashtra,180,175782690.0
JALORE,Rajasthan,276,148435133.0
JALPAIGURI,West Bengal,68,92522582.0
JAMMU,Jammu And Kashmir,325,165282034.0
JAMNAGAR,Gujarat,431,165704526.52
JAMSHEDPUR,Jharkhand,305,171797295.0
JAMUI,Bihar,561,206777773.0
JANGIPUR,West Bengal,412,269038493.75
JANJGIR CHAMPA,Chhattisgarh,492,163099840.0
JAUNPUR,Uttar Pradesh,907,192403319.64
JHALAWAR-BARAN,Rajasthan,338,145801432.7
JHANJHARPUR,Bihar,242,198210816.0
JHANSI,Uttar Pradesh,306,188881144.0
JHARGRAM,West Bengal,95,189099765.26
JHUNJHUNU,Rajasthan,272,134764680.83
JODHPUR,Rajasthan,256,162490844.07
JORHAT,Assam,650,199816094.14
JOYNAGAR,West Bengal,369,169694900.0
JUNAGADH,Gujarat,470,157479153.0
KACHCHH,Gujarat,545,209385615.0
KADAPA,Andhra Pradesh,434,215678974.0
KAIRANA,Uttar Pradesh,147,144548156.0
KAISERGANJ,Uttar Pradesh,158,215273927.0
KAKINADA,Andhra Pradesh,151,109324271.35
KALAHANDI,Odisha,659,198147791.0
KALLAKURICHI,Tamil Nadu,490,270613726.0
KALYAN,Maharashtra,36,73917339.0
KANCHEEPURAM,Tamil Nadu,668,240672368.34
KANDHAMAL,Odisha,442,134714302.0
KANGRA,Himachal Pradesh,973,243431366.0
KANKER,Chhattisgarh,226,126125163.0
KANNAUJ,Uttar Pradesh,358,203409454.14
KANNIYAKUMARI,Tamil Nadu,183,215139577.0
KANNUR,Kerala,432,184906666.0
KANPUR,Uttar Pradesh,137,140998224.0
KANTHI,West Bengal,155,191792475.0
KARAKAT,Bihar,432,216417733.0
KARAULI-DHOLPUR,Rajasthan,458,178413125.0
KARIMGANJ,Assam,144,216311213.0
KARIMNAGAR,Telangana,1170,313384726.0
KARNAL,Haryana,160,140834300.0
KARUR,Tamil Nadu,354,213146129.0
KASARAGOD,Kerala,493,186616124.0
KATIHAR,Bihar,145,131398221.0
KAUSHAMBI,Uttar Pradesh,845,120360655.0
Kaziranga,Assam,301,137315522.0
KENDRAPARA,Odisha,214,183988251.0
KEONJHAR,Odisha,586,234050848.0
KHADOOR SAHIB,Punjab,149,68691240.2
KHAGARIA,Bihar,237,129410061.0
KHAJURAHO,Madhya Pradesh,272,209566997.99
KHAMMAM,Telangana,454,182498175.0
KHANDWA,Madhya Pradesh,556,194581176.0
KHARGONE,Madhya Pradesh,638,211818946.0
KHEDA,Gujarat,1013,212038872.0
KHERI,Uttar Pradesh,411,144380293.14
KHUNTI,Jharkhand,455,188213550.0
KISHANGANJ,Bihar,328,230490428.0
KODARMA,Jharkhand,669,199779885.0
KOKRAJHAR,Assam,197,212948516.0
KOLAR,Karnataka,286,147142897.79
KOLHAPUR,Maharashtra,206,195115374.0
KOLKATA DAKSHIN,West Bengal,132,165043915.0
KOLKATA UTTAR,West Bengal,95,164185280.0
KOLLAM,Kerala,256,176255420.34
KOPPAL,Karnataka,494,203119209.0
KORAPUT,Odisha,801,257552839.0
KORBA,Chhattisgarh,420,162638091.0
KOTA,Rajasthan,378,207188595.51
KOTTAYAM,Kerala,547,264584942.0
KOZHIKODE,Kerala,490,170857681.0
KRISHNAGIRI,Tamil Nadu,227,195064811.0
KRISHNANAGAR,West Bengal,82,162779914.0
KURNOOL,Andhra Pradesh,573,187321008.0
KURUKSHETRA,Haryana,324,148051662.42
KUSHI NAGAR,Uttar Pradesh,382,174352733.0
LADAKH,Ladakh,225,146257376.0
LAKHIMPUR,Assam,265,131274458.34
LAKSHADWEEP,Lakshadweep,73,290653583.0
LALGANJ,Uttar Pradesh,430,146579751.0
LATUR,Maharashtra,222,161145062.0
LOHARDAGA,Jharkhand,335,207605523.0
LUCKNOW,Uttar Pradesh,144,146975276.0
LUDHIANA,Punjab,565,185187762.0
MACHHLISHAHR,Uttar Pradesh,2147,186491318.24
MACHILIPATNAM,Andhra Pradesh,155,117529700.0
MADHA,Maharashtra,739,174479482.0
MADHEPURA,Bihar,284,244149195.0
MADHUBANI,Bihar,273,178297619.0
MADURAI,Tamil Nadu,294,200022661.0
MAHABUBABAD,Telangana,558,195250166.0
MAHABUBNAGAR,Telangana,629,250204951.0
MAHARAJGANJ,Uttar Pradesh,118,203772002.0
MAHARAJGANJ,Bihar,176,195292676.0
MAHASAMUND,Chhattisgarh,270,165325561.0
MAHESANA,Gujarat,1051,204067046.6
MAINPURI,Uttar Pradesh,219,168564951.0
MALAPPURAM,Kerala,370,181120291.0
MALDAHA DAKSHIN,West Bengal,438,184434753.0
MALDAHA UTTAR,West Bengal,308,108601088.3
MALKAJGIRI,Telangana,338,265707278.0
MANDI,Himachal Pradesh,730,166963906.0
MANDLA,Madhya Pradesh,509,165413804.0
MANDSOUR,Madhya Pradesh,963,142713434.0
MANDYA,Karnataka,290,168759361.0
MATHURA,Uttar Pradesh,198,167190405.0
MATHURAPUR,West Bengal,288,149317032.0
MAVAL,Maharashtra,217,199048177.0
MAVELIKKARA,Kerala,286,205048082.0
MAYILADUTHURAI,Tamil Nadu,275,213610212.0
MAYURBHANJ,Odisha,424,205478980.0
MEDAK,Telangana,371,204335614.0
MEDINIPUR,West Bengal,207,185828227.0
MEERUT,Uttar Pradesh,319,179006765.0
MIRZAPUR,Uttar Pradesh,30,166432665.54
MISRIKH,Uttar Pradesh,19,220094625.0
MIZORAM,Mizoram,337,196894229.0
MOHANLALGANJ,Uttar Pradesh,142,122232189.84
MORADABAD,Uttar Pradesh,464,113817342.84
MORENA,Madhya Pradesh,259,143731760.81
MUMBAI NORTH,Maharashtra,83,168070000.0
MUMBAI NORTH EAST,Maharashtra,78,184760162.0
MUMBAI NORTH WEST,Maharashtra,85,203000000.0
MUMBAI NORTH-CENTRAL,Maharashtra,105,169423238.0
MUMBAI SOUTH,Maharashtra,106,193802097.0
MUMBAI SOUTH CENTRAL,Maharashtra,63,174641833.0
MUNGER,Bihar,343,131099262.0
MURSHIDABAD,West Bengal,539,307340497.0
